Date,ETH_Open,ETH_Close,ETH_High,ETH_Low,ETH_Volume,BTC_Open,BTC_Close,BTC_High,BTC_Low,BTC_Volume,LTC_Open,LTC_Close,LTC_High,LTC_Low,LTC_Volume
2020-09-30 22:00:00,357.79,359.84,360.55,357.78563475,1155.24302293,10723.0,10765.07463414,10775.0,10722.0,37.64322776,45.884,46.336,46.404,45.884,481.63238732
2020-09-30 21:00:00,357.16588166,357.79,358.85,357.16588166,370.81804279,10724.0,10724.0,10756.0,10723.0,35.5653796,46.034,45.825,46.038,45.825,431.37123041
2020-09-30 20:00:00,356.0,357.08,357.18,355.61364021,559.12093733,10729.42500835,10722.0,10741.0,10698.0,49.64836769,45.96,45.987,46.059,45.825,388.93252637
2020-09-30 19:00:00,356.25992623,356.33,356.61159107,355.25,380.40871612,10748.0,10733.64642147,10753.0,10705.0,47.85316044,46.032,45.973,46.113,45.942,271.08638091
2020-09-30 18:00:00,358.0,356.64,358.44,355.65,764.582329,10792.05502916,10748.0,10800.35128074,10706.32865,244.78132505,46.346,46.083,46.347,45.942,1517.48243754
2020-09-30 17:00:00,358.64,357.88190097,359.17568617,357.3,303.1564317,10806.0,10788.0,10819.0,10777.0,129.46268958,46.443,46.348,46.457,46.26,1303.57691666
2020-09-30 16:00:00,358.18504677,358.45,359.51,357.59,1201.82894622,10797.99771336,10802.0,10805.0,10780.98680538,37.21862858,46.36,46.42,46.799,46.331,2004.9919451
2020-09-30 15:00:00,356.22,358.23,358.31,356.22,1697.45055448,10767.90439022,10797.35184886,10811.88949,10767.90439022,79.68336302,46.14,46.315,46.331,46.097,642.81769848
2020-09-30 14:00:00,356.48,356.15,357.55019831,356.0,787.19994579,10768.0,10767.90439022,10777.93346886,10756.0,87.16066509,46.039,46.145,46.24,46.021,258.36777767
2020-09-30 13:00:00,356.017647,356.54,356.90282849,355.57975193,1680.76266342,10749.0,10765.0,10775.0,10746.0,50.30228366,46.008,46.039,46.103,45.986,143.54117108
2020-09-30 12:00:00,353.62,355.84,356.5,352.34,1054.02572532,10705.12698683,10748.0,10767.1341839,10694.0,121.75022471,45.7,46.04,46.086,45.625,247.87445004
2020-09-30 11:00:00,355.94945446,353.89,356.30082439,353.45,727.00427118,10744.40431392,10705.71772238,10747.669979,10705.0,31.40984468,46.079,45.74,46.127,45.74,159.14871618
2020-09-30 10:00:00,355.2214876,356.23,356.5,355.10440735,994.5326274399999,10715.0,10744.0,10745.0,10715.0,20.82515174,45.945,46.069,46.17,45.904,103.97941795
2020-09-30 09:00:00,356.04,355.14,356.04,353.69,888.14164464,10729.0,10716.0,10729.0,10684.0,59.47405135,46.012,45.921,46.012,45.725,252.07222414999998
2020-09-30 08:00:00,355.25,355.94,356.73,354.60310425,551.20166247,10718.0,10729.0,10746.0,10709.0,42.96053681,45.867,46.13,46.215,45.867,264.63045555
2020-09-30 07:00:00,355.86,355.58,357.16340058,355.25,777.46606012,10737.80927047,10722.0,10768.90580465,10713.02537479,75.73743531,46.031,45.936,46.212,45.885,839.784456
